ID,school_code,age,gender,discipline_marker,s1_credits,s1_gpa,s2_credits,s2_gpa,GPA_weighted,exclude,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,optimism_score
942,6,22,m,HUMANITIES,15,3.4899999999999998,12,2.9299999999999997,3.2411111111111106,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,13,22,f,HUMANITIES,17,3.3099999999999996,16,3.04,3.179090909090909,FALSE,3,4,2,3,5,3,2,2,2,3,3,1,2,3,38
512,20,22,m,HUMANITIES,12,3.68,16,3.14,3.3714285714285714,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
760,12,21,m,HUMANITIES,18,3.53,18,3.68,3.605,FALSE,2,5,3,2,1,5,4,5,2,1,1,3,5,4,43
429,18,23,m,HUMANITIES,17,3.17,16,2.32,2.757878787878788,TRUE,3,5,1,3,3,1,1,4,1,3,1,3,5,1,35
927,7,21,m,HUMANITIES,15,2.61,17,1.71,2.131875,TRUE,2,1,2,4,4,2,5,1,2,5,5,4,1,5,43
806,5,22,m,HUMANITIES,17,2.46,12,3.13,2.7372413793103445,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
791,5,22,m,HUMANITIES,16,2.52,17,3.24,2.890909090909091,TRUE,1,1,4,4,6,2,3,2,1,4,2,1,1,5,37
941,5,22,f,HUMANITIES,16,3.7600000000000002,17,3.05,3.394242424242424,FALSE,4,6,6,1,1,3,2,1,3,5,1,3,5,2,43
594,11,22,f,HUMANITIES,14,1.81,16,2.09,1.9593333333333334,FALSE,4,4,5,3,4,4,2,4,3,5,6,5,3,6,58
907,19,22,f,HUMANITIES,16,2.04,17,2.3899999999999997,2.2203030303030302,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
509,11,22,f,HUMANITIES,16,2.48,16,2.6,2.54,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
928,3,22,m,HUMANITIES,16,3.01,17,2.8699999999999997,2.9378787878787875,FALSE,2,5,1,6,2,3,5,3,2,2,1,3,2,2,39
885,1,22,m,HUMANITIES,16,3.54,16,3.4099999999999997,3.4749999999999996,FALSE,1,2,4,4,4,3,3,2,5,1,1,2,3,1,36
969,12,23,m,HUMANITIES,15,3.4099999999999997,15,3.6,3.5050000000000003,FALSE,1,2,3,3,2,6,1,1,2,5,3,3,1,5,38
681,13,22,f,HUMANITIES,17,3.96,18,3.3099999999999996,3.625714285714285,FALSE,1,3,4,3,2,2,5,5,4,3,5,3,2,1,43
289,1,23,m,HUMANITIES,17,3.1,15,2.62,2.875,FALSE,2,3,1,1,1,1,1,2,4,1,2,6,4,1,30
237,8,22,f,HUMANITIES,17,2.7600000000000002,16,2.64,2.7018181818181817,FALSE,1,3,5,5,3,1,3,3,2,4,2,1,1,5,39
614,13,22,f,HUMANITIES,16,1.52,15,1.5,1.5103225806451612,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,16,22,f,HUMANITIES,17,2.34,12,3.13,2.666896551724138,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
793,6,22,f,HUMANITIES,17,2.62,16,3.21,2.9060606060606062,FALSE,5,3,6,3,5,2,3,5,2,2,4,1,5,2,48
640,20,22,f,HUMANITIES,17,2.73,16,1.5,2.1336363636363633,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,7,23,f,HUMANITIES,16,2.11,17,2.46,2.29030303030303,FALSE,4,1,1,3,1,2,6,5,6,1,2,2,1,3,38
836,16,22,f,HUMANITIES,17,2.7800000000000002,17,2.59,2.685,FALSE,1,1,2,1,6,6,2,4,5,4,5,1,6,4,48
603,13,22,f,HUMANITIES,17,2.36,14,1.55,1.9941935483870965,TRUE,1,4,5,2,4,5,2,3,1,1,5,4,1,3,41
355,14,22,f,SOCIAL SCIENCES,16,2.3899999999999997,16,2.8,2.5949999999999998,FALSE,4,5,4,6,2,6,5,3,2,3,2,4,3,1,50
267,14,22,f,SOCIAL SCIENCES,16,3.67,15,3.06,3.3748387096774195,FALSE,3,2,3,4,5,2,4,3,2,2,6,2,4,5,47
360,10,23,m,SOCIAL SCIENCES,17,2.11,16,1.6600000000000001,1.8918181818181818,FALSE,2,5,2,3,2,4,3,2,4,2,3,3,5,2,42
982,17,22,f,SOCIAL SCIENCES,16,1.26,16,1.92,1.5899999999999999,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
762,18,22,m,SOCIAL SCIENCES,15,2.07,15,2.77,2.42,FALSE,3,2,4,1,2,1,2,3,3,2,2,5,6,1,37
726,15,22,m,SOCIAL SCIENCES,16,3.53,17,3.7,3.6175757575757572,FALSE,2,1,4,2,4,3,3,4,3,6,4,6,6,2,50
200,6,22,f,SOCIAL SCIENCES,13,2.27,12,2.3299999999999996,2.2988,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,3,22,m,SOCIAL SCIENCES,17,2.2600000000000002,16,1.8900000000000001,2.0806060606060606,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
722,19,22,f,SOCIAL SCIENCES,16,2.4099999999999997,16,1.96,2.1849999999999996,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
561,20,21,f,SOCIAL SCIENCES,12,3.01,17,3.14,3.086206896551724,FALSE,3,1,6,3,6,3,2,6,5,3,4,6,2,2,52
230,14,22,f,SOCIAL SCIENCES,16,3.8099999999999996,15,3.5,3.6599999999999997,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711,12,22,f,SOCIAL SCIENCES,13,1,15,0.71,0.8446428571428571,FALSE,3,3,2,2,4,6,2,3,4,4,6,2,4,4,49
233,19,22,f,SOCIAL SCIENCES,16,2.21,15,1.93,2.0745161290322582,FALSE,5,5,3,6,6,4,2,4,4,1,4,4,1,4,53
714,17,21,m,SOCIAL SCIENCES,16,2.55,12,1.81,2.2328571428571427,TRUE,4,2,6,2,6,2,1,4,3,2,3,6,4,2,47
818,23,22,f,SOCIAL SCIENCES,17,1.3800000000000001,15,1.32,1.3518750000000002,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,12,22,m,SOCIAL SCIENCES,17,2.68,16,2.72,2.6993939393939397,FALSE,6,1,4,3,3,3,4,3,6,2,3,4,2,5,49
121,8,22,m,SOCIAL SCIENCES,16,3.3499999999999996,9,3.4899999999999998,3.4003999999999994,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,3,22,f,SOCIAL SCIENCES,17,1.31,16,1.46,1.3827272727272726,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
575,9,22,f,SOCIAL SCIENCES,17,2.03,17,2.3,2.1649999999999996,FALSE,3,4,4,3,2,4,2,4,2,1,4,3,3,6,45
454,1,22,m,SOCIAL SCIENCES,16,2.57,11,2.94,2.7207407407407405,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,6,23,m,SOCIAL SCIENCES,17,0.93,13,1.06,0.9863333333333334,FALSE,3,1,4,4,2,2,2,2,3,2,1,5,2,2,35
403,2,22,f,SOCIAL SCIENCES,16,3.64,17,3.74,3.691515151515152,FALSE,2,4,4,1,1,4,5,4,3,2,3,2,5,4,44
357,17,22,f,SOCIAL SCIENCES,15,2.2600000000000002,17,1.91,2.0740625,FALSE,4,2,4,3,3,4,4,6,3,2,2,4,1,1,43
275,16,22,f,SOCIAL SCIENCES,11,2,16,1.83,1.8992592592592592,FALSE,3,3,2,2,4,5,3,3,2,4,4,2,2,3,42
496,17,22,m,SOCIAL SCIENCES,16,3.32,16,3,3.16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,7,22,f,SOCIAL SCIENCES,15,2.59,15,3.27,2.9299999999999997,TRUE,2,1,4,6,3,1,2,5,6,3,2,3,1,1,40
620,16,20,f,SOCIAL SCIENCES,16,2.96,16,2.86,2.91,FALSE,3,5,6,4,4,4,4,4,6,4,3,4,6,6,63
339,4,22,m,SOCIAL SCIENCES,16,1.45,16,2.29,1.87,FALSE,1,3,2,1,4,2,4,3,2,1,2,4,3,3,35
105,3,22,m,SOCIAL SCIENCES,17,3.38,15,3.21,3.3003125,FALSE,2,2,2,1,2,2,1,2,6,3,4,4,4,6,41
944,9,22,f,SOCIAL SCIENCES,16,2.4299999999999997,15,1.6900000000000002,2.0719354838709676,TRUE,4,6,3,1,2,2,2,4,6,5,2,6,1,5,49
169,9,22,m,SOCIAL SCIENCES,16,2.64,17,2.51,2.573030303030303,FALSE,2,2,3,3,2,5,5,3,3,3,5,2,4,3,45
461,1,22,m,SOCIAL SCIENCES,15,1.11,16,1.6900000000000002,1.4093548387096775,FALSE,1,1,1,3,2,4,5,1,1,4,3,1,3,3,33
724,23,22,m,SOCIAL SCIENCES,17,1.9,17,2.16,2.03,FALSE,5,2,6,4,2,4,5,3,1,2,5,2,3,2,46
947,14,22,f,SOCIAL SCIENCES,16,2.42,18,2.2600000000000002,2.335294117647059,FALSE,2,2,1,6,4,1,2,2,3,6,4,1,6,1,41
531,10,22,m,SOCIAL SCIENCES,17,3.12,16,3.57,3.338181818181818,FALSE,3,2,6,4,2,3,6,4,3,5,2,5,2,6,53
358,12,21,m,SOCIAL SCIENCES,17,3.14,16,2.69,2.921818181818182,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
